# Еталонний словник скорочень (source='dict').
# Формат: оригінал;скорочення
# Пошук у кеші йде за стем-ключем, тож достатньо однієї форми — відмінки збігаються автоматично.
# Ці записи мають пріоритет над LLM: модель їх не перезаписує.

Вища рада правосуддя;ВРП
Кабінет Міністрів України;КМУ
Верховна Рада України;ВРУ
Конституційний Суд України;КСУ
Верховний Суд;ВС
Міністерство освіти і науки;МОН
Міністерство юстиції;Мін'юст
Міністерство фінансів;Мінфін
Міністерство оборони;МОУ
Служба безпеки України;СБУ
Національна поліція України;НПУ
Державна податкова служба;ДПС
Державна казначейська служба;ДКС
Пенсійний фонд України;ПФУ
Національний банк України;НБУ
Вищий антикорупційний суд;ВАКС
Національне антикорупційне бюро;НАБУ
Відділ;Відд.
Управління;Упр.
Департамент;Деп.
Головне управління;ГУ
Секретаріат;Секр.
Протокол засідання;Прот. засід.
Розпорядження;Розп.
Постанова;Пост.
Рішення;Ріш.
Додаток;Дод.
Пояснювальна записка;Поясн. зап.
Довідка;Довід.
